"","X","FOLIOVIV","FOLIOHOG","tam_loc","sexo_jefe","edad_jefe","educa_jefe","tot_integ","p12_64","p65mas","remesas","ing_cor","int0a12","int12a64","int65a98","depdemog","muj12a49","tot_per","ltot_per","p_esc3","p_esc5b","trab_sub","trab_ind","trab_s_pago","seg_alim2","seg_alim3","seg_alim_a","seg_pop","ss","jtrab_ind","ssjtrabind","con_remesas","viv_prop","viv_rent","tot_cuar","bao13","piso_fir","piso_rec","combustible","sin_refri","sin_vehi","sin_compu","sin_vidvd","sin_telef","sin_horno","factor","rururb","tamhogesc","ict","ictpc","finalMemb_rur"
"1029",1029,1060023401,1,4,1,53,7,1,1,0,0,14847.13,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,1,1,0,0,0,1,1,1,1,1,181,1,1,4277.71560862,4277.71560862,5
"1030",1030,1060023402,1,4,1,59,4,4,4,0,0,61940.58,0,4,0,0,3,4,1.38629436111989,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,1,181,1,3.6892,18047.0090334,4892.57785790957,1
"1031",1031,1060023403,1,4,2,54,3,4,3,0,0,15420.04,0,3,0,0,1,3,1.09861228866811,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,1,0,181,1,3.6866,3514.88416556,954.150373124288,1
"1032",1032,1060023404,1,4,1,62,3,4,4,0,0,58148.95,0,4,0,0,0,4,1.38629436111989,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,5,1,0,1,0,0,0,1,1,0,0,181,1,3.978,17092.73876915,4297.56580421066,4
"1033",1033,1060023507,1,4,1,44,6,7,5,0,0,57017.26,2,5,0,0.4,3,7,1.94591014905531,0,1,1,2,0,0,0,0,7,3,1,0,0,1,0,6,1,0,1,0,0,0,0,1,0,0,181,1,6.125,15440.52072429,2521.7380774351,2
"1034",1034,1060023508,1,4,2,43,6,4,4,0,9978.26,39458.59,0,4,0,0,1,4,1.38629436111989,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,5,1,0,1,0,0,1,0,1,0,1,181,1,3.4004,10732.41229253,3156.92644763263,4
"1035",1035,1060023509,1,4,1,73,4,6,2,2,0,41227.89,2,2,2,2,1,6,1.79175946922805,0,0,2,0,0,0,0,0,1,6,0,0,0,1,0,6,1,1,0,1,0,0,1,1,0,0,181,1,5.4193,12314.02433197,2273.06914767036,4
"1036",1036,1060023511,1,4,1,27,8,10,4,0,0,44417.06,6,4,0,1.5,2,10,2.30258509299405,0,1,3,0,0,0,0,0,10,0,0,0,0,0,1,5,1,1,0,0,0,0,1,1,1,0,181,1,8.2668,14004.77137903,1694.97728008782,2
"1037",1037,1060023511,2,4,1,50,4,2,2,0,1173.91,86225.24,0,2,0,0,1,2,0.693147180559945,0,0,2,0,0,0,0,0,2,1,0,0,1,0,1,5,1,1,0,0,0,0,1,1,1,1,181,1,1.989,27259.64459085,13705.6981351684,5
"1038",1038,1060023512,1,4,1,26,8,3,2,0,0,48104.54,1,2,0,0.5,1,3,1.09861228866811,0,1,0,2,0,0,0,0,3,0,1,0,0,0,0,4,1,1,0,0,0,0,1,1,1,0,181,1,2.6921,15594.57827925,5793.34734194495,1
"1039",1039,1060023613,1,4,1,28,6,5,2,0,0,20560.14,3,2,0,1.5,1,5,1.6094379124341,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,2,0,1,0,0,0,0,1,0,1,1,181,1,4.1334,5520.72857604,1336.39666522475,4
"1040",1040,1060023615,1,4,1,36,8,4,3,0,0,17344.48,1,3,0,0.333333333333333,1,4,1.38629436111989,0,0,0,2,0,0,0,0,4,0,1,0,0,0,1,5,1,0,1,0,0,0,1,0,1,0,181,1,3.4329,5420.04716345,1579.56248753241,1
"1041",1041,1060023617,1,4,2,27,6,2,2,0,0,29832.77,0,2,0,0,2,2,0.693147180559945,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,1,0,0,1,1,1,0,0,181,1,1.989,6777.22729634,3407.85133048768,5
"1042",1042,1060023618,1,4,1,32,9,4,2,0,0,52880.47,1,2,0,0.5,1,3,1.09861228866811,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,181,1,3.4303,15827.22115461,4614.6551189721,4
"1043",1043,1060023719,1,4,1,59,3,8,4,0,0,17615.05,4,4,0,1,1,8,2.07944154167984,0,1,2,0,0,0,1,0,8,0,0,0,0,0,0,3,0,1,0,0,0,1,1,1,1,1,181,1,6.283,4484.23568401,714.550164572656,2
